code;date_valorisation;juste_valeur
PC01;2022-03-31;8000000.0
PC01;2022-06-30;8301000.0
PC01;2022-09-30;8618000.0
PC01;2022-12-31;8946000.0
PC01;2023-03-31;9279000.0
PC01;2023-06-30;9629000.0
PC01;2023-09-30;9995000.0
PC01;2023-12-31;10376000.0
PC01;2024-03-31;10767000.0
PC01;2024-06-30;11173000.0
PC01;2024-09-30;11598000.0
PC01;2024-12-31;12040000.0
PC01;2025-03-31;12488000.0
PC01;2025-06-30;12959000.0
PC01;2025-09-30;13453000.0
PC01;2025-12-31;13965000.0
PC02;2022-09-30;6500000.0
PC02;2022-12-31;7100000.0
PC02;2023-03-31;7741000.0
PC02;2023-06-30;8448000.0
PC02;2023-09-30;9228000.0
PC02;2023-12-31;10080000.0
PC02;2024-03-31;11000000.0
PC02;2024-06-30;12004000.0
PC02;2024-09-30;13113000.0
PC02;2024-12-31;14324000.0
PC02;2025-03-31;15616000.0
PC03;2023-03-31;9000000.0
PC03;2023-06-30;9258000.0
PC03;2023-09-30;9526000.0
PC03;2023-12-31;9802000.0
PC03;2024-03-31;10082000.0
PC03;2024-06-30;10371000.0
PC03;2024-09-30;10671000.0
PC03;2024-12-31;10980000.0
PC03;2025-03-31;11291000.0
PC03;2025-06-30;11615000.0
PC03;2025-09-30;11951000.0
PC03;2025-12-31;12297000.0
PC04;2023-09-30;7500000.0
PC04;2023-12-31;7404000.0
PC04;2024-03-31;7310000.0
PC04;2024-06-30;7217000.0
PC04;2024-09-30;7124000.0
PC04;2024-12-31;7033000.0
PC04;2025-03-31;6944000.0
PC04;2025-06-30;6856000.0
PC04;2025-09-30;6768000.0
PC04;2025-12-31;6681000.0
PC05;2024-06-30;6000000.0
PC05;2024-09-30;6045000.0
PC05;2024-12-31;6090000.0
PC05;2025-03-31;6135000.0
PC05;2025-06-30;6180000.0
PC05;2025-09-30;6226000.0
PC05;2025-12-31;6273000.0
